Ubigeo e Identificador MCP;Departamento;Provincia, Distrito y Municipalidad de Centro Poblado;Región natural (según piso altitudinal);Nombre del Alcalde;Dirección;Viviendas particulares;Teléfonos;Correo Electrónico;Directorio de Municipalidad de Centro Poblado;;;;;;
0207;2.3 departamento ancash: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Carlos Fermin Fitzcarrald;;;;;;;;;;;;;
0208;2.3 departamento ancash: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Casma;;;;;;;;;;;;;
0209;2.3 departamento ancash: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Corongo;;;;;;;;;;;;;
0210;2.3 departamento ancash: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Huari;;;;;;;;;;;;;
0212;2.3 departamento ancash: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Huaylas;;;;;;;;;;;;;
0213;2.3 departamento ancash: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Mariscal Luzuriaga;;;;;;;;;;;;;
0214;2.3 departamento ancash: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Ocros;;;;;;;;;;;;;
0215;2.3 departamento ancash: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Pallasca;;;;;;;;;;;;;
0216;2.3 departamento ancash: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Pomabamba;;;;;;;;;;;;;
0217;2.3 departamento ancash: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Recuay;;;;;;;;;;;;;
0218;2.3 departamento ancash: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Santa;;;;;;;;;;;;;
0219;2.3 departamento ancash: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Sihuas;;;;;;;;;;;;;
0220;2.3 departamento ancash: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Yungay;;;;;;;;;;;;;
2002;20.3 departamento piura: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Ayabaca;;;;;;;;;;;;;
2003;20.3 departamento piura: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Huancabamba;;;;;;;;;;;;;
2004;20.3 departamento piura: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Morropón;;;;;;;;;;;;;
2005;20.3 departamento piura: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Paita;;;;;;;;;;;;;
2006;20.3 departamento piura: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Sullana;;;;;;;;;;;;;
2008;20.3 departamento piura: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Sechura;;;;;;;;;;;;;
2102;21.3 departamento puno: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Azángaro;;;;;;;;;;;;;
2103;21.3 departamento puno: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Carabaya;;;;;;;;;;;;;
2104;21.3 departamento puno: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Chucuito;;;;;;;;;;;;;
2105;21.3 departamento puno: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;El Collao;;;;;;;;;;;;;
2106;21.3 departamento puno: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Huancané;;;;;;;;;;;;;
2107;21.3 departamento puno: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Lampa;;;;;;;;;;;;;
2108;21.3 departamento puno: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Melgar;;;;;;;;;;;;;
2109;21.3 departamento puno: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Moho;;;;;;;;;;;;;
2110;21.3 departamento puno: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;San Antonio De Putina;;;;;;;;;;;;;
2111;21.3 departamento puno: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;San Román;;;;;;;;;;;;;
2112;21.3 departamento puno: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Sandia;;;;;;;;;;;;;
2113;21.3 departamento puno: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Yunguyo;;;;;;;;;;;;;
2202;22.3 departamento san martin: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Bellavista;;;;;;;;;;;;;
2203;22.3 departamento san martin: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;El Dorado;;;;;;;;;;;;;
2204;22.3 departamento san martin: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Huallaga;;;;;;;;;;;;;
2205;22.3 departamento san martin: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Lamas;;;;;;;;;;;;;
2206;22.3 departamento san martin: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Mariscal Cáceres;;;;;;;;;;;;;
2207;22.3 departamento san martin: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Picota;;;;;;;;;;;;;
2208;22.3 departamento san martin: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Rioja;;;;;;;;;;;;;
2209;22.3 departamento san martin: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;San Martín;;;;;;;;;;;;;
2210;22.3 departamento san martin: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Tocache;;;;;;;;;;;;;
2302;23.3 departamento tacna: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Candarave;;;;;;;;;;;;;
2303;23.3 departamento tacna: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Jorge Basadre;;;;;;;;;;;;;
2304;23.3 departamento tacna: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Tarata;;;;;;;;;;;;;
2403;24.3 departamento tumbes: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Zarumilla;;;;;;;;;;;;;
2502;25.3 departamento ucayali: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de la municipalidad de centro poblado, 2025;Atalaya;;;;;;;;;;;;;
2503;25.3 departamento ucayali: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de la municipalidad de centro poblado, 2025;Padre Abad;;;;;;;;;;;;;
0302;3.3 departamento apurimac: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Andahuaylas;;;;;;;;;;;;;
0303;3.3 departamento apurimac: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Antabamba;;;;;;;;;;;;;
0304;3.3 departamento apurimac: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Aymaraes;;;;;;;;;;;;;
0305;3.3 departamento apurimac: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Cotabambas;;;;;;;;;;;;;
0306;3.3 departamento apurimac: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Chincheros;;;;;;;;;;;;;
0307;3.3 departamento apurimac: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Grau;;;;;;;;;;;;;
0402;4.3 departamento arequipa: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Camaná;;;;;;;;;;;;;
0404;4.3 departamento arequipa: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Castilla;;;;;;;;;;;;;
0405;4.3 departamento arequipa: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Caylloma;;;;;;;;;;;;;
0406;4.3 departamento arequipa: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Condesuyos;;;;;;;;;;;;;
0407;4.3 departamento arequipa: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Islay;;;;;;;;;;;;;
0502;5.3 departamento ayacucho: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Cangallo;;;;;;;;;;;;;
0503;5.3 departamento ayacucho: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Huanca Sancos;;;;;;;;;;;;;
0504;5.3 departamento ayacucho: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Huanta;;;;;;;;;;;;;
0505;5.3 departamento ayacucho: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;La Mar;;;;;;;;;;;;;
0506;5.3 departamento ayacucho: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Lucanas;;;;;;;;;;;;;
0507;5.3 departamento ayacucho: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Parinacochas;;;;;;;;;;;;;
0508;5.3 departamento ayacucho: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Paucar Del Sara Sara;;;;;;;;;;;;;
